Channel Name, Longitude, Direction
CNR 15 Traffic Radio, 3.0, W
CNR 16 Countryside Radio, 3.0, W
CNR 2 Voice of Finance, 3.0, W
CNR 3 Music Radio, 3.0, W
CNR 4 Golden Radio, 3.0, W
CNR 5 Taiwan service 1, 3.0, W
CNR 6 Taiwan service 2, 3.0, W
CNR 8 Minorities service, 3.0, W
CNR 9 FM 106.6, 3.0, W
Cooking Channel, 3.0, W
Crime + Investigation UK, 3.0, W
DBS TV, 3.0, W
DD Girnar, 3.0, W
DD Himachal Pradesh, 3.0, W
DD Jalpaiguri, 3.0, W
Diaspora 24, 3.0, W
Discovery Channel Brasil, 3.0, W
Discovery Channel Middle East, 3.0, W
Discovery Family, 3.0, W
Discovery Home & Health Brasil, 3.0, W
Discovery Kids Brasil, 3.0, W
Discovery Turbo Brasil, 3.0, W
Disney Channel Israel, 3.0, W
Disney Junior East, 3.0, W
Divine TV, 3.0, W
Dusk, 3.0, W
DW English, 3.0, W
DW English, 3.0, W
E-Networks Channel 1, 3.0, W
E-Networks Channel 1, 3.0, W
E-Networks Channel 2, 3.0, W
E-Networks Channel 3, 3.0, W
E! West, 3.0, W
E40 TV, 3.0, W
Ecuavisa Internacional, 3.0, W
EFM, 3.0, W
Eleven Sports USA, 3.0, W
Equinoxe TV, 3.0, W
ESPN 2 US, 3.0, W
ESPNU, 3.0, W
Estación 40, 3.0, W
Eurosport 1, 3.0, W
Food Network Brasil, 3.0, W
Food Network East, 3.0, W
Food Network West, 3.0, W
Fox College Sports Atlantic, 3.0, W
Fox College Sports Central, 3.0, W
Fox College Sports Pacific, 3.0, W
Fox Sports News Australia, 3.0, W
France 24 English, 3.0, W
France 24 Français, 3.0, W
France 3 Alpes, 3.0, W
France 3 Aquitaine, 3.0, W
France 3 Auvergne, 3.0, W
France 3 Bretagne, 3.0, W
France 3 Languedoc-Roussillon, 3.0, W
France 3 Limousin, 3.0, W
France 3 Provence-Alpes, 3.0, W
France 3 Rhône-Alpes, 3.0, W
Fuse East, 3.0, W
Fuse East, 3.0, W
Fuse West, 3.0, W
FYI East, 3.0, W
GAC Family, 3.0, W
Galaxie TV, 3.0, W
Gloire TV, 3.0, W
Glory Christ Channel, 3.0, W
Golf Channel US, 3.0, W
Golf Channel US Alternate, 3.0, W
Guyana Learning Channel, 3.0, W
Guyana Learning Channel Ah We, 3.0, W
Guyana Learning Channel Discover, 3.0, W
Guyana Learning Channel Elementary, 3.0, W
Guyana Learning Channel Elevate, 3.0, W
Guyana Learning Channel Junior, 3.0, W
Guyana Learning Channel Teen, 3.0, W
HBO East, 3.0, W
HBO Signature West, 3.0, W
HGTV Brasil, 3.0, W
HGTV East, 3.0, W
HGTV West, 3.0, W
Hi TV, 3.0, W
History Channel Israel, 3.0, W
HSN, 3.0, W
Hubei Satellite TV, 3.0, W
Imayam TV, 3.0, W
IMPD TV, 3.0, W
IMPD TV, 3.0, W
IMPD TV Belo Horizonte, 3.0, W
IMPD TV Espírito Santo, 3.0, W
IMPD TV Goiânia, 3.0, W
IMPD TV Rondônia, 3.0, W
IMPD TV Worldwide, 3.0, W
IMPD TV Worldwide, 3.0, W
IndiePlex West, 3.0, W
INSP, 3.0, W
Inspiration TV, 3.0, W
Inti TV, 3.0, W
Inti TV, 3.0, W
Investigação Discovery Brasil, 3.0, W
Investigation Discovery East, 3.0, W
Jaya Max, 3.0, W
Jaya Plus, 3.0, W
Jaya TV, 3.0, W
JBS, 3.0, W
K CN 1, 3.0, W
K CN 2, 3.0, W
K CN 3, 3.0, W
Kan 11, 3.0, W
Kan Educational, 3.0, W
Kanal D Drama, 3.0, W
Kids Zone (1), 3.0, W
Kingship TV, 3.0, W
Latele, 3.0, W
Latin American Sports USA, 3.0, W
Live Keno Deluxe, 3.0, W
LuckyBet EPL, 3.0, W
LuckyBet LaLiga, 3.0, W
Magnolia Network East, 3.0, W
Magnolia Network West, 3.0, W
MBC 2, 3.0, W
MBC Action, 3.0, W
MK Six, 3.0, W
MK Tunes, 3.0, W
MK TV, 3.0, W
Monumental 1080 AM, 3.0, W
MRT Sobraniski kanal, 3.0, W
MSNBC, 3.0, W
MTV Live, 3.0, W
Music IL, 3.0, W
MUTV, 3.0, W
My Gospel, 3.0, W
My Media Prime, 3.0, W
My Movie English, 3.0, W
My Movie French, 3.0, W
My Music Africa, 3.0, W
N PY, 3.0, W
Nambikkai TV, 3.0, W
National Geographic Israel, 3.0, W
National Geographic Wild, 3.0, W
National Geographic Wild Europe, 3.0, W
NCN TV, 3.0, W
New Frontiers TV, 3.0, W
NG TV, 3.0, W
Nicktoons Adria, 3.0, W
NKR TV, 3.0, W
Notre TV, 3.0, W
Now 14, 3.0, W
NTD TV East, 3.0, W
NTD TV West, 3.0, W
NTN, 3.0, W
Once Internacional, 3.0, W
One 2, 3.0, W
Oprah Winfrey Network East, 3.0, W
Oxygen True Crime East, 3.0, W
Parlamentarni kanal, 3.0, W
